mode_id,target_slot,target_name,mre_mm,reference_mre_mm,delta_mre_mm
Superior_Covered,13,lung_lower_lobe_right,72.88,24.86,48.02
Superior_Covered,14,esophagus,90.02,19.21,70.82
Superior_Covered,15,trachea,117.62,19.58,98.04
Superior_Covered,16,thyroid_gland,147.68,21.13,126.56
Superior_Covered,17,small_bowel,46.88,32.47,14.41
Superior_Covered,18,duodenum,44.45,28.35,16.1
Superior_Covered,19,colon,47.28,34.28,13.0
Superior_Covered,20,urinary_bladder,37.69,25.99,11.7
Superior_Covered,25,vertebrae_S1,33.99,22.09,11.9
Superior_Covered,26,vertebrae_L5,34.35,21.77,12.58
Superior_Covered,27,vertebrae_L4,35.12,21.7,13.43
Superior_Covered,28,vertebrae_L3,37.94,23.77,14.16
Superior_Covered,29,vertebrae_L2,37.99,22.32,15.67
Superior_Covered,30,vertebrae_L1,39.75,21.46,18.3
Superior_Covered,31,vertebrae_T12,42.64,20.36,22.28
Superior_Covered,32,vertebrae_T11,44.59,20.4,24.19
Superior_Covered,33,vertebrae_T10,49.86,19.76,30.09
Superior_Covered,34,vertebrae_T9,60.95,19.73,41.22
Superior_Covered,35,vertebrae_T8,79.5,19.79,59.71
Superior_Covered,36,vertebrae_T7,87.5,18.79,68.71
Superior_Covered,37,vertebrae_T6,100.42,18.35,82.07
Superior_Covered,38,vertebrae_T5,120.31,17.71,102.6
Superior_Covered,39,vertebrae_T4,132.85,18.01,114.84
Superior_Covered,40,vertebrae_T3,148.79,18.01,130.78
Superior_Covered,41,vertebrae_T2,147.14,17.89,129.25
Superior_Covered,42,vertebrae_T1,162.6,17.68,144.92
Superior_Covered,43,vertebrae_C7,153.95,18.83,135.12
Superior_Covered,44,vertebrae_C6,144.47,19.74,124.74
Superior_Covered,51,aorta,90.59,18.45,72.15
Superior_Covered,52,pulmonary_vein,85.63,22.09,63.54
Superior_Covered,53,brachiocephalic_trunk,129.5,19.3,110.2
Superior_Covered,54,subclavian_artery_right,142.36,19.65,122.71
Superior_Covered,55,subclavian_artery_left,136.4,20.52,115.88
Superior_Covered,56,common_carotid_artery_right,149.81,20.91,128.9
Superior_Covered,57,common_carotid_artery_left,141.05,20.35,120.7
Superior_Covered,59,brachiocephalic_vein_right,135.78,18.43,117.35
Superior_Covered,60,atrial_appendage_left,74.5,23.52,50.98
Superior_Covered,61,superior_vena_cava,89.54,19.31,70.22
Superior_Covered,62,inferior_vena_cava,47.5,22.53,24.98
Superior_Covered,63,portal_vein_and_splenic_vein,50.21,28.19,22.02
Superior_Covered,64,iliac_artery_left,34.16,22.65,11.51
Superior_Covered,65,iliac_artery_right,33.02,21.15,11.87
Superior_Covered,66,iliac_vena_left,33.2,21.4,11.8
Superior_Covered,67,iliac_vena_right,32.35,19.85,12.49
Superior_Covered,68,humerus_left,213.64,32.43,181.21
Superior_Covered,69,humerus_right,198.94,31.36,167.58
Superior_Covered,70,scapula_left,135.97,21.06,114.91
Superior_Covered,71,scapula_right,139.46,20.06,119.4
Superior_Covered,72,clavicula_left,148.0,23.77,124.23
Superior_Covered,73,clavicula_right,162.34,23.88,138.47
Superior_Covered,74,femur_left,32.65,24.72,7.93
Superior_Covered,75,femur_right,31.85,23.83,8.02
Superior_Covered,76,hip_left,32.01,21.03,10.98
Superior_Covered,77,hip_right,31.41,20.33,11.08
Superior_Covered,78,spinal_cord,75.55,19.72,55.83
Superior_Covered,79,gluteus_maximus_left,33.48,23.7,9.78
Superior_Covered,80,gluteus_maximus_right,32.99,22.52,10.47
Superior_Covered,81,gluteus_medius_left,35.91,24.32,11.59
Superior_Covered,82,gluteus_medius_right,34.41,22.66,11.76
Superior_Covered,83,gluteus_minimus_left,33.92,23.38,10.54
Superior_Covered,84,gluteus_minimus_right,33.3,21.8,11.5
Superior_Covered,85,autochthon_left,57.1,18.89,38.2
Superior_Covered,86,autochthon_right,58.3,19.35,38.95
Superior_Covered,87,iliopsoas_left,34.94,22.62,12.32
Superior_Covered,88,iliopsoas_right,34.08,21.77,12.31
Superior_Covered,89,brain,143.06,43.22,99.84
Superior_Covered,90,skull,213.44,64.43,149.01
Superior_Covered,91,rib_left_1,147.27,19.15,128.12
Superior_Covered,92,rib_left_2,137.32,21.45,115.87
Superior_Covered,95,rib_left_5,120.03,23.84,96.19
Superior_Covered,96,rib_left_6,108.23,23.01,85.22
Superior_Covered,97,rib_left_7,97.18,23.63,73.55
Superior_Covered,98,rib_left_8,90.57,23.51,67.05
Superior_Covered,99,rib_left_9,75.49,23.2,52.29
Superior_Covered,100,rib_left_10,56.98,23.39,33.59
Superior_Covered,101,rib_left_11,44.18,23.18,21.0
Superior_Covered,102,rib_left_12,43.3,23.27,20.02
Superior_Covered,103,rib_right_1,147.42,18.08,129.34
Superior_Covered,104,rib_right_2,141.59,19.15,122.44
Superior_Covered,105,rib_right_3,148.47,20.74,127.73
Superior_Covered,106,rib_right_4,140.47,23.46,117.01
Superior_Covered,107,rib_right_5,125.62,22.09,103.53
Superior_Covered,108,rib_right_6,114.95,22.45,92.51
Superior_Covered,109,rib_right_7,104.9,24.33,80.57
Superior_Covered,110,rib_right_8,95.06,24.74,70.33
Superior_Covered,111,rib_right_9,77.96,23.87,54.09
Superior_Covered,112,rib_right_10,59.38,23.79,35.59
Superior_Covered,113,rib_right_11,44.78,22.67,22.1
Superior_Covered,114,rib_right_12,42.25,23.23,19.02
Superior_Covered,115,sternum,105.28,17.9,87.38
Superior_Covered,116,costal_cartilages,70.29,19.45,50.83
Inferior_Covered,0,spleen,46.61,28.04,18.57
Inferior_Covered,1,kidney_right,72.61,28.88,43.72
Inferior_Covered,2,kidney_left,66.7,27.69,39.01
Inferior_Covered,3,gallbladder,60.1,36.85,23.25
Inferior_Covered,4,liver,47.24,28.76,18.48
Inferior_Covered,5,stomach,47.87,30.5,17.37
Inferior_Covered,6,pancreas,58.26,26.77,31.49
Inferior_Covered,7,adrenal_gland_right,41.07,23.9,17.18
Inferior_Covered,8,adrenal_gland_left,43.75,24.1,19.65
Inferior_Covered,9,lung_upper_lobe_left,26.63,20.9,5.73
Inferior_Covered,10,lung_lower_lobe_left,33.27,24.12,9.15
Inferior_Covered,11,lung_upper_lobe_right,28.35,23.95,4.41
Inferior_Covered,12,lung_middle_lobe_right,29.53,23.38,6.15
Inferior_Covered,13,lung_lower_lobe_right,32.95,24.86,8.09
Inferior_Covered,14,esophagus,26.21,19.21,7.01
Inferior_Covered,15,trachea,23.09,19.58,3.51
Inferior_Covered,16,thyroid_gland,23.32,21.13,2.2
Inferior_Covered,17,small_bowel,129.36,32.47,96.88
Inferior_Covered,18,duodenum,73.58,28.35,45.23
Inferior_Covered,19,colon,131.13,34.28,96.85
Inferior_Covered,20,urinary_bladder,195.78,25.99,169.79
Inferior_Covered,25,vertebrae_S1,139.34,22.09,117.25
Inferior_Covered,26,vertebrae_L5,103.24,21.77,81.48
Inferior_Covered,27,vertebrae_L4,94.19,21.7,72.5
Inferior_Covered,28,vertebrae_L3,73.25,23.77,49.48
Inferior_Covered,29,vertebrae_L2,57.64,22.32,35.32
Inferior_Covered,30,vertebrae_L1,45.16,21.46,23.7
Inferior_Covered,31,vertebrae_T12,35.47,20.36,15.11
Inferior_Covered,32,vertebrae_T11,32.02,20.4,11.62
Inferior_Covered,33,vertebrae_T10,27.73,19.76,7.96
Inferior_Covered,34,vertebrae_T9,26.55,19.73,6.82
